No,Tháng,Năm,Khách hàng C2,Khách Hàng C1,Tỉnh,Tên hoạt động,Số lượng,Nhóm Sản phẩm,Sản Phẩm,Cây Trồng,SL Nông Dân,Đầu tư,Triển khai
1,Nov,2018,STG-042,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
2,Nov,2018,STG-065,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
3,Nov,2018,STG-052,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
4,Nov,2018,STG-112,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
5,Nov,2018,STG-080,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
6,Nov,2018,STG-113,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
7,Nov,2018,STG-060,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
8,Nov,2018,DNI-001,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
9,Nov,2018,STG-006,STG001,Sóc Trăng,Demo,2.0,Fungicide,FY,Lúa,10,3184420.0000000005,SE
10,Nov,2018,STG-030,STG001,Sóc Trăng,TM,2.0,Fungicide,FY,Lúa,40,6619300.000000001,SE
11,Nov,2018,CTO-082,STG010,Bạc Liêu,TM,1.0,Fungicide,FY,Lúa,20,3309650.0000000005,SE
12,Nov,2018,DNI-001,CMU002,Bạc Liêu,TM,2.0,Fungicide,FY,Lúa,40,6619300.000000001,SE
13,Nov,2018,STG-006,CMU002,Bạc Liêu,TM,1.0,Fungicide,FY,Lúa,20,3309650.0000000005,SE
14,Nov,2018,STG-080,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,SE
15,Nov,2018,STG-060,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,SE
16,Nov,2018,STG-006,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,SE
17,Nov,2018,STG-052,STG010,Sóc Trăng,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,SE
18,Dec,2018,KGG-178,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Sầu Riêng,10,894500.0000000001,SE
19,Dec,2018,BTN-045,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,SE
20,Dec,2018,BLU-061,STG001,Sóc Trăng,FA,10.0,Fungicide,RA,Sầu Riêng,10,894500.0000000001,SE
21,Nov,2018,AGG-183,AGG022,An Giang,Demo,1.0,Fungicide,RA,Lúa,5,1592210.0000000002,ST
22,Nov,2018,AGG-087,AGG023,An Giang,Demo,1.0,Fungicide,RA,Lúa,5,1592210.0000000002,ST
23,Nov,2018,AGG-199,AGG023,An Giang,Demo,1.0,Fungicide,RA,Lúa,5,1592210.0000000002,ST
24,Nov,2018,AGG-096,AGG028,An Giang,Demo,2.0,Fungicide,RA,Lúa,10,3184420.0000000005,ST
25,Nov,2018,AGG-272,AGG023,An Giang,Demo,1.0,Fungicide,RA,Lúa,5,1592210.0000000002,ST
26,Nov,2018,AGG-183,AGG022,An Giang,TM,1.0,Fungicide,RA,Lúa,20,3309650.0000000005,ST
27,Nov,2018,AGG-087,AGG023,An Giang,TM,1.0,Fungicide,RA,Lúa,20,3309650.0000000005,ST
28,Nov,2018,AGG-199,AGG023,An Giang,TM,1.0,Fungicide,RA,Lúa,20,3309650.0000000005,ST
29,Nov,2018,AGG-096,AGG028,An Giang,TM,1.0,Fungicide,RA,Lúa,20,3309650.0000000005,ST
30,Nov,2018,AGG-183,AGG022,An Giang,FA,6.0,Fungicide,RA,Lúa,6,536700.0,ST
31,Nov,2018,AGG-087,AGG023,An Giang,FA,6.0,Fungicide,RA,Lúa,6,536700.0,ST
32,Nov,2018,AGG-199,AGG023,An Giang,FA,6.0,Fungicide,RA,Lúa,6,536700.0,ST
33,Nov,2018,AGG-096,AGG028,An Giang,FA,6.0,Fungicide,RA,Lúa,6,536700.0,ST
34,Nov,2018,AGG-239,AGG023,An Giang,FA,6.0,Fungicide,RA,Lúa,6,536700.0,ST
35,Nov,2018,AGG-308,AGG028,An Giang,FA,4.0,Fungicide,RA,Lúa,4,357800.00000000006,ST
36,Nov,2018,AGG-125,AGG028,An Giang,FA,2.0,Fungicide,RA,Lúa,2,178900.00000000003,ST
37,Nov,2018,DTP-131,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
38,Nov,2018,DTP-141,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Cây Ăn Trái,10,894500.0000000001,ST
39,Nov,2018,DTP-185,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,ST
40,Nov,2018,DTP-196,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,ST
41,Nov,2018,DTP-144,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
42,Nov,2018,VLG-041,VLG008,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
43,Nov,2018,DTP-070,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Cây Ăn Trái,10,894500.0000000001,ST
44,Nov,2018,DTP-118,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
45,Nov,2018,DTP-230,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
46,Dec,2018,DTP-030,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
47,Dec,2018,DTP-071,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Cây Ăn Trái,10,894500.0000000001,ST
48,Dec,2018,DTP-048,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
49,Dec,2018,DTP-237,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
50,Dec,2018,VLG-045,VLG008,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
51,Dec,2018,DTP-227,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
52,Dec,2018,DTP-051,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
53,Dec,2018,DTP-226,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Lúa,10,894500.0000000001,ST
54,Dec,2018,DTP-055,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Cây Ăn Trái,10,894500.0000000001,ST
55,Jan,2019,DTP-140,DTP006,Đồng Tháp,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,ST
56,Jan,2019,DTP-015,DTP015,Đồng Tháp,FA,10.0,Fungicide,RA,Rau màu,10,894500.0000000001,ST
57,Nov,2018,DTP-131,DTP006,Đồng Tháp,TM,2.0,Fungicide,RA,Lúa,40,6619300.000000001,ST
58,Nov,2018,VLG-007,VLG008,Đồng Tháp,TM,2.0,Fungicide,RA,Cây Ăn Trái,40,6619300.000000001,ST
59,Nov,2018,DTP-040,DTP015,Đồng Tháp,TM,2.0,Fungicide,RA,Rau màu,40,6619300.000000001,ST
60,Nov,2018,DTP-185,DTP015,Đồng Tháp,TM,2.0,Fungicide,RA,Rau màu,40,6619300.000000001,ST
61,Dec,2018,VLG-041,VLG008,Đồng Tháp,TM,2.0,Fungicide,RA,Lúa,40,6619300.000000001,ST
62,Dec,2018,VLG-045,VLG008,Đồng Tháp,TM,2.0,Fungicide,RA,Lúa,40,6619300.000000001,ST
